,0
0,遮挡面部？佐罗面罩算不算？
1,这时候才说
2,要不要我大中华帝国施舍一些面具给你们😂
3,遮挡面部？佐罗面罩算不算？
4,这时候才说
5,要不要我大中华帝国施舍一些面具给你们😂
6,👍
7,英国牛不是很牛比吗，要搞什么免疫，现在还怕啥
8,傻瓜，晚了
9,“亡羊补牢”，为时不晚！
10,遮挡面部不管吧？
11,晚了
12,西方特色
13,形式主义
14,不全体免疫了？
15,可以可以
16,噢
17,哦哦
18,亡羊补牢！
19,各自安好，，，，
20,加油吧
21,中国加油
22,了解
23,欲说还休，遮三掩四，为时晚矣！
24,去
25,哈哈哈哈
26,踩
27,加油战胜疫情
28,应该戴口罩
29,操！
30,1
31,怕了
32,戴口罩的另一隐晦说法：遮挡面部。
33,徐
34,全民都免疫了还遮啥
35,多洗手就可以了，戴什么口罩？
36,好可怜，口罩都没有。还满世界吹牛逼
37,怎么搞成这样了喔
38,？？？
39,防护很重要
40,哦对了！穷的没有口罩。还是中国好啊口罩随便买。
41,西方的虚伪。遮挡面部不就是戴口罩吗！随便用布巾遮挡一下也不管用啊！带个口罩那么难啊！
42,服
43,哈哈
44,希望为时不晚吧。
45,疫情面前要改变习俗，戴口罩。
46,好好好的恍恍惚惚厚度呼呼的
47,拿手
48,哈哈
49,蒙面大侠
50,。
51,群体免疫？
52,跟
53,决定一件事情需要几个月。。。。。反应迟钝。决策优柔寡断。
54,美国的疫情泛滥是经验，中国的疫情清零是毒草？真不知西方社会什么时候也开始文化打哥名了！
55,666
56,抄作业了！
57,开门了离开你你几几年
58,门口烤面筋那你看
59,看看
60,哦哦哦哦
61,！
62,防护等级上升
63,遮挡面部有什么用？又挡不住病毒！
64,早干嘛了
65,英国也很伟大，还知道医用口罩就给医护人员和病人！但到现在了，口罩还这么缺货吗？这么长时间你们干什么去了？还有点效率吗，西方人？！
66,同意
67,好
68,遮住面部是什么玩意？是狗钻洞吗？只留两个眼睛露出
69,早就应该如此了
70,晚了
71,遮挡面部就能有效预防病毒传播吗？一定要戴中国生产的医用外科口罩。
72,早发现
73,必须的
74,不是说群体免疫吗？认怂了？
75,身体健康最重要
76,帝国臣民是要脸不要命的，口罩对他们来说就是邪恶污秽之物。
77,有点晚了吧？朋友
78,不对啊，人权呢，民主呢，强烈反对
79,现在还不晚
80,某台
81,👎👎
82,怕了吧？
83,他们就是不买我们的口罩，心里阴暗！
84,疫情都四个月了，英口罩还是不够，英政府你干嘛去了！中国十天建一个大口罩厂！
85,- ̗̀(๑ᵔ⌔ᵔ๑)
86,有点晚
87,为你点赞！
88,英国通知！
89,遮挡面部！
90,哦
91,哎呀我去
92,好
93,。
94,加油
95,遮住好，遮着安全
96,搞到现在才执行？呵呵
97,也算解封的一个措施
98,早该这样了
99,嗯嗯
100,加油有意思
101,加油
102,哦哦
103,哦
104,对头
105,有点晚
106,太难了
107,哈
108,真棒
109,早干嘛去了
110,嗯😊
111,。
112,1
113,应该的
114,是啊
115,嗯
116,那里都一样
117,把脸全堵住
118,多注意是应该的
119,噢噢噢哦哦
120,口罩不够吗吗，我这有
121,不是要群体免疫吗？
122,应该开地摊卖口罩😷
123,多奇葩的国家领导人啊
124,现在要求遮挡脸部是不是迟了点！
125,大了
126,"""戴口罩""换成“遮住脸部""，避免侵犯专利权，法制意识挺强的嘛！"
127,国外早就应该这么强力的推行了
128,哈哈
129,嘿
130,哦
131,好
132,直接说戴口罩不就行了
133,戴口罩就这么难吗？
134,不错
135,2
136,1
137,世界和平啊
138,哈哈
139,知错能改，善莫大焉
140,不错不错
141,群体免疫失败了吗？开始戴口罩了？
142,卑劣表演，自毁民族。
143,🙄
144,安全第一
145,老牌帝国主义国家的人又不是超人，首相都差点挂了，还矜持点啥？
146,史雲0807：英国绅士有志气，都死三万多人了，宁死不买中国口罩！
147,小机器人wall：哦
148,布口罩也许是有利环保节省费用，但是效果真的好吗？
149,现在才觉得严重，是否晚了一点。
150,早该了
151,对
152,。。。。。。。。
153,厉害呀
154,。。。。。
155,，
156,。。。
157,我们疫情结束了，才能买到口罩
158,早干嘛去了
159,。。。。
160,有用吗
161,！！
162,安全第一
163,唉
164,一起控疫情，防疫情…………
165,这和首相的全民免疫思想相违背，你小子还想不想干了？
166,z
167,0000
168,哦豁
169,嗯
170,嗨氏
171,嗯ヽ(○^㉨^)ﾉ♪
172,……
173,～
174,…
175,以前干什么去了？！
176,花花草草
177,天热了，加油
178,就是说不用强制戴口罩，用手遮挡也可以
179,英国也很伟大，还知道医用口罩就给医护人员和病人！但到现在了，口罩还这么缺货吗？这么长时间你们干什么去了？还有点效率吗，西方人？！
180,触碰的绽放：英国的血统纯正、高贵，百毒不侵！
181,感觉有些晚了
182,我
183,家里
184,都群体免疫了，还管那么多干嘛
185,嗯
186,中国标准
187,怎么办
188,戴口罩不就解决了
189,应该佩戴正压呼吸器。
190,疫情都四个月了，英口罩还是不够，英政府你干嘛去了！中国十天建一个大口罩厂！
191,水至清则无鱼_82475：他们就是不买我们的口罩，心里阴暗！
192,liby1688：嘿嘿
193,安全是一
194,什么时候结束
195,公共安全
196,可以露出口鼻？
