,title,content,num_comments
0,意大利单日新增6557例确诊病例，累计确诊破5万,原标题：意大利单日新增6557例确诊病例，累计确诊破5万[海外网3月22日|战疫全时区]据荷兰媒体BNO新闻网最新消息，意大利新增新冠肺炎确诊病例6557例，系单日最大增幅，新增死亡病例793例。累计确诊病例增至53578例，累计死亡病例达4825例。当前，意大利依然是世界上因新冠病毒死亡人数最多的国家。这一周，意大利新冠病毒疫情增长曲线，基本上呈直线式。意大利新冠病毒应急委员会专员博雷利称，该国疫情的峰值可能还需一周甚至更久才能到来。为防止疫情蔓延，意大利3月10日起已进入全国“封城”状态，希望通过这一防疫“重锤”，能早日战胜疫情。随着疫情迅速扩大，法新社援引意大利总理孔特3月19日的话表示，全国范围的封锁措施于4月3日到期之后，仍将继续延长。另据美国有线电视新闻网（CNN）报道，3月20日，意大利伦巴第大区主席阿蒂利奥·丰塔纳称，意大利政府已经同意动用军队协助执行封锁措施，届时士兵将进入伦巴第大区和其他有需要的地区。3月20日晚间，意大利政府发布新条例，进一步限制民众出行。要求从3月21日起关闭全国的公园及其他公共场所，禁止民众进入公园、游乐场，禁止在户外进行休闲娱乐活动，节假日禁止民众去居住地以外地区度假。（海外网/朱箫）责任编辑：张迪,"180,481"
1,Angelababy回应聚会照：和朋友合照不用介意站哪,新浪娱乐讯 10月5日，Angelababy[微博]在微博发文回应合照站位 ，称：“和朋友合照不用这么介意谁站哪里吧，每次都是看谁坐的位置光线好就围过去。”此前，有网友曝出Angelababy（杨颖）与一众有名的“富二代”和“阔太太”在高级酒店里聚会的照片，照片中的Angelababy在合照中镶边，穿着打扮看起来比其他八位都要低调，网友调侃“第一眼居然没找到她”、“这是现实版《三十而已》吗”。,"34,764"
2,徐明朝写道歉信承认职场PUA 但拒绝向Yamy道歉,新浪娱乐讯 7月22日中午，徐明朝再发长文道歉：“我深刻的反省，我问自己，我是职场PUA男老板吗？是的！我是！我道歉！” 但徐明朝表示道歉是送给曾经的同事以及其他艺人，并不包括Yamy。“我不会向Yamy道歉！这两份道歉里没有Yamy！无论如何，不会！”他还在文中表示昨天Yamy曝光的那段音频被剪辑过，会前自己强调过不要录音，过程中有人问他怎么看Yamy的现状，会议本身与Yamy无关，有了这个问题就有了关系，承认自己当时情绪激动，也承认昨晚给Yamy写的信有威胁成分。徐明朝称Yamy只是想解约，想多赚钱，“Yamy得到了一份偷录的开会音频，找到了解约的理由，同时希望借助公众情绪把解约做实，可以顺利的自己接商务赚钱，仅此而已。” 徐明朝在文末更表明态度，“解约可以谈，打官司有法律，但是做人做事要有底线。公司内部的事一定要发到网上，不顾及后果，这种风气，从我这里不能忍！”据悉，昨日Yamy曝光公司会议录音后徐明朝曾发长文回应，表示：“如果你的目的只是为了解约，实在没必要搞得这么惊天动地。” 随后很多网友指责他有威胁之意。(责编：麦子七),"2,429"
3,从这句话读懂联合国大会上的中国主张,原标题：时政新闻眼丨从这句话读懂联合国大会上的中国主张10月1日晚，习近平主席在联合国大会纪念北京世界妇女大会25周年高级别会议上说了这样一句话：“疫情既带来了前所未有的挑战，也提供了深刻反思、重塑未来的机遇。世界的发展需要进入更加平等、包容、可持续的轨道。”这是读懂“后疫情时代”中国主张的一把钥匙。五场活动，习主席始终聚焦这些关键词 9月30日、10月1日晚，习近平主席继续以视频方式出席联合国成立75周年系列高级别会议并发表重要讲话，这两场的主题分别聚焦于生物多样性和妇女事业发展。在此前的三场活动中，习主席多次围绕“更加平等、包容、可持续发展”阐述中国主张。平等：在9月21日的纪念峰会上，习主席对联合国提出四点建议，第一是主持公道。他说，大小国家相互尊重、一律平等是时代进步的要求，也是联合国宪章首要原则。“不能谁的拳头大就听谁的。”包容：在9月22日的一般性辩论上，习主席指出，我们要秉持开放包容理念，坚定不移构建开放型世界经济，维护以世界贸易组织为基石的多边贸易体制，旗帜鲜明反对单边主义、保护主义。可持续：9月23日，习主席在视频会见联合国秘书长古特雷斯时提出，发展必须是可持续的，需要处理好人与自然的关系。如果说前三场活动是习主席对于中国主张的总体阐述，9月30日、10月1日的两场活动，则是针对两个专门领域的分类阐述，也是对世界更加平等、包容、可持续发展的大声疾呼。共建万物和谐的美丽家园 9月30日，生物多样性峰会在纽约联合国总部举行，旨在为各方共商全球生物多样性治理新战略积聚力量。近150个国家的代表发言，共同探讨保护生物多样性、促进可持续发展的重大课题。习主席在峰会上提出四点建议：坚持生态文明，增强建设美丽世界动力；坚持多边主义，凝聚全球环境治理合力；保持绿色发展，培育疫后经济高质量复苏活力；增强责任心，提升应对环境挑战行动力。,"2,037"
4,中德领导人通话 习近平多次提及这关键词,原标题：中德领导人三次通话 习近平多次提及这个关键词6月3日晚，习近平主席同德国总理默克尔通电话。这是自新冠肺炎疫情暴发以来，双方第三次通话。习近平强调，近日中德“快捷通道”正式启动，这有利于帮助两国有需求的企业加快复工复产，维护国际产业链、供应链稳定。经央视网人工智能I学习数据库分析，中德领导人近期三次通电话中，“合作”位于高频词之首。从1月提到“中德肩负着重要责任，两国合作已经超越双边范畴”，到3月称赞“中德、中欧展现出团结合作的力量，发挥了正能量”，再到6月表示“相信中德合作能够为促进世界早日走出经济衰退发挥应有作用”……言语之间，习近平都高度评价中德之间稳定良好的合作关系，并期望推动中德、中欧关系迈上新台阶。具体通话内容，《联播+》为您梳理：（中央广播电视总台央视网）责任编辑：张义凌,"1,998"
5,英国交通大臣：6月15日起民众乘坐公共交通必须“遮挡面部”,原标题：英国交通大臣：6月15日起民众乘坐公共交通必须“遮挡面部”当地时间4日下午，在英国每日疫情发布会上，英国交通大臣格朗特·夏普宣布，自6月15日起，所有必须乘坐公共交通的英格兰民众必须遮挡面部，并强调医用口罩应留给医务人员和病人使用，民众可使用布制口罩等遮挡面部。（总台记者 西佳）责任编辑：祝加贝,"1,958"
6,美国疾控中心主任：疾控中心仍与世界卫生组织保持“密切合作”,原标题：美国疾控中心主任：疾控中心仍与世界卫生组织保持“密切合作”当地时间4日，美国疾病控制和预防中心主任罗伯特·雷德菲尔德，在当天于华盛顿举行的一场众议院有关应对新冠肺炎疫情反应的听证会上表示，尽管特朗普总统近期宣布将结束美国与世界卫生组织的关系，但美国疾控中心仍与世界卫生组织保持“密切合作”。罗伯特·雷德菲尔德表示，疾控中心最近几天一直在与世卫组织合作，并在帮助世卫组织应对在刚果暴发的新的埃博拉疫情。雷德菲尔德补充说：“我对我们所拥有的公共卫生伙伴关系充满信心，尽管可以在政治层面上进行某种方式的修改，但我认为我们的公共卫生工作不会对其进行修改。”同时，雷德菲尔德还建议聘请30000至100000人从事确诊病例接触者的追踪工作，以帮助遏制下一波新冠肺炎疫情高峰的到来。（央视记者 许弢）责任编辑：祝加贝,"1,784"
7,美国四任前总统齐就黑人男子弗洛伊德之死发声,原标题：美国四任前总统齐发声据美国广播公司报道，继奥巴马、克林顿、小布什之后，美国前总统吉米·卡特6月3日就黑人男子弗洛伊德之死发声，成为最新一位、也是最后一位对此发声的在世前总统。卡特：我们需要一个和人民一样好的政府卡特当天在一份声明中称，他和他的妻子罗莎琳·卡特“对于近期悲剧的种族不平等事件及其导致的全国范围抗议深感悲痛”，“我们的心和受害者家属，以及所有在种族歧视和残酷暴行面前感到绝望的人在一起”，“我们必须关注种族歧视这一不道德行为。但是无论是自发的还是蓄意煽动的暴力，都不是解决问题的方案”。现年95岁的卡特是美国年龄最大的在世前总统。他在声明中谈到了自己此前的从政经历，“作为一名来自南方的白人男性，我非常了解种族隔离和不公正对非裔美国人的影响。作为一名政治家，我有责任将平等带给我的州和我的国家”。卡特回忆起他在1971年就任乔治亚州州长时说的话，他在就职演讲中称，“种族歧视的时代结束了”，然而，“将近50年后，带着巨大的悲伤和失望，我今天再次重申这句话”，“掌权的、有特权的、有道德意识的人必须站出来，对带有种族歧视的警察和司法系统，对白人和黑人之间不道德的经济不平等，对破坏我们团结民主的政府行动说‘不’”。卡特最后说，“我们需要一个和人民一样好的政府，我们比这更好”。小布什：美国人民应反思这个国家的“悲剧性失败”美国前总统乔治·W。 布什（小布什）6月2日就弗洛伊德之死发声。小布什在一份声明中称，他和妻子劳拉·布什此前一直拒绝发声，因为“这不是我们说教的时刻，这是让我们倾听的时刻，这是让美国人民反思我们的悲剧性失败的时刻”。小布什指出，许多非裔美国人——尤其是年轻的非裔美国男性在自己的国家被袭击、被威胁，这依然是一个“令人震惊的失败”。此次悲剧和此前的一系列悲剧都引发了一个问题：我们该如何结束美国社会中的体制性种族主义？声明中提到，种族优越感的传统和习惯曾经几乎分裂了这个国家，现在也仍然在威胁着这个国家。许多人怀疑美国的国家正义，这是有理由的。黑人看到他们的权利一再受到侵犯，但政府却没有做出及时、充分的回应。小布什在声明中称，“只有通过和平的手段才能实现持久的正义——抢劫不是自由、破坏不是进步。但我们也知道，只有真正的公平正义才会带来持久的和平”，“法治最终取决于法律制度的公正性和合法性，为所有人实现正义是所有人的责任”。小布什称，改变现状需要持续、勇敢和创造性的努力，只有试着了解才能更好地服务。他呼吁了解彼此的经历，以平等的态度善待他人、关爱他人，“我相信，我们一起，美国将选择一条更好的道路”。克林顿：没有人应该以乔治·弗洛伊德那样的方式死去美国前总统比尔·克林顿5月30日就在其基金会网站上就弗洛伊德之死发布声明。克林顿指出，弗洛伊德之死引发的悲痛、愤怒、沮丧都是可以理解的，这同时在痛苦地提醒美国人民，一个人的种族几乎决定了他在美国社会方方面面被对待的方式。克林顿在声明中指出，“没有人应该以乔治·弗洛伊德那样的方式死去。事实是，如果你是美国白人，大概率你是不会的”。声明称，这个事实强调了一个令人悲痛、令人愤怒的现状，一个人的生命将被他的肤色决定。马丁·路德·金57年前在《我有一个梦想》演讲中称，希望他的四个孩子将在一个不以肤色，而以品格来评价他们的国家生活。但是如今，这个梦想“似乎更加遥不可及了”。克林顿表示，每个人都享有生命、自由、尊重、尊严和无罪推定的平等权利。人们应该扪心自问几个问题，“如果弗洛伊德是白人，戴着手铐，躺在地上，他会活下来吗”，“为什么这样的事不断地发生”，“我能做什么”，等等。奥巴马：美国建立在抗议之上，这是美国革命作为美国历史上第一位非裔总统，奥巴马对黑人之死的回应受到广泛关注。他也是第一位就弗洛伊德之死公开发声的前总统。5月30日，奥巴马在一份声明中称，弗洛伊德之死“在2020年的美国不应该是“正常的”，也不能是“正常的””，“因为种族而被区别对待是数百万美国人民悲剧的、痛苦的、愤怒的‘常态’”。奥巴马6月2日还发布一系列推特，称美国持续不断爆发抗议示威表明，民众对于执法部门和司法体系过去几十年的失败改革感到挫败，只有通过抗议示威这种方式，才能表达出对持续存在、持续发生的种族歧视的不满。他呼吁明尼阿波利斯警方对这次事件充分调查，以确保正义得到实现。但“如果想要实现真正的改变，并不是在抗议和政治之间选择，而是两者都要实现”，奥巴马称，应该通过投票选出那些会实施改革的候选人。6月3日，奥巴马还首次就弗洛伊德之死发表了公开讲话。奥巴马表示，弗洛伊德之死引发全国动荡，这是美国人认识并解决种族主义等结构性问题的机会，“种族主义是瘟疫，是我们社会的原罪”。他呼吁美国人共同努力应对这些问题，改变美国并实现立国的最高理想。奥巴马在讲话中对有色人种青年表示支持，称“你们很重要，你们的生命很重要，你们的梦想很重要”——呼应了许多抗议者打出的标语“黑人的命也是命”（Black Lives Matter），“你们应该可以学习、犯错、过一个幸福的生活，而不用担心去商店、去散步或是开车上路时会发生些什么”。他还呼吁进行警察系统改革，希望此次抗议将推动政策改变，以增加民众与执法系统之间的信任。奥巴马还提到了20世纪60年代的暴力骚乱、暗杀以及反战抗议——当时尼克松因为聚焦“法律和秩序”最终赢得1968年大选当选总统，奥巴马称此次抗议和1968年是不一样的，这一次是更具美国代表性的和平抗议，是因为看到不公正而自发的抗议，而不是60年代的那种政治联盟。奥巴马称，“这个国家建立在抗议之上。它被称为美国革命”。文/谢莲责任编辑：范斯腾,"1,712"
8,"湖南""蛋白固体饮料""调查结果：欺诈误导消费 罚200万",原标题：湖南公布蛋白固体饮料事件处置情况：经销商夸大宣传，湖南蛋白固体饮料事件属欺诈误导消费6月5日，湖南省通报永兴县“蛋白固体饮料”调查处置情况。省市场监管局副局长、省市联合调查组组长陈跃文表示，此次事件是经销商为扩大产品销售，对产品性能作夸大宣传的欺诈、误导消费事件。通报显示，涉事产品“倍氨敏”是湖南唯乐可健康有限公司委托天津市德恒科技有限公司生产的一款蛋白固体饮料，具有生产厂家出具的产品合格检验报告、市场监管部门委托第三方检验机构（广东省质量监督食品检验站）出具的抽检合格报告。省市联合调查组将在唯乐可公司发现的“倍氨敏”展品送至湖南省食品质量安全检验研究院进行检测，所检33 项主要质量和安全指标符合标准。目前没有发现涉案食品质量安全问题。通报显示，爱婴坊母婴店存在“对其商品作虚假或者引人误解的商业宣传，将“倍氨敏＇宣称为奶粉进行销售”的行为，当事人承认通过虚假宣传误导消费者的事实。5月28日，永兴县市场监管局向爱婴坊母婴店下达《行政处罚决定书》，责令其立即停止虚假宣传行为，顶格处以罚款200万元。郴州市、永兴县两级党委、政府于5月14日、15日安排郴州市第一人民医院下属儿童医院（三甲医院）对5名儿童进行全面医学体检，对其头围、体格发育、微量元素、血常规等基本指标项目进行检查检测和综合评估。5月19日、20日和23日，省卫健委组织省儿童医院儿保科、消化科、神经内科、血液内科专家对5名儿童身体状况进行检查和评估。专家组经集体评估认为，#5名儿童不符合俗称大头娃娃症状体征#。5月14日，永兴县纪委监委对该事件履职情况展开调查，对在该事件中监管不力、工作力度不够的县市场监管局党组成员、副局长李建军和市场秩序监管股长曹石顺予以免职处理。下阶段，省市联合调查组将督促永兴县对涉事儿童继续加强人文关怀和营养指导，密切关注和及时处理相关消费投诉，开展婴幼儿科学喂养科普宣传，提升消费者食品安全意识和识假辨假能力；深入开展全省食品安全大排查大整治百日行动，突出整治问题多发、风险较高、响面广、群众关注的环节和领域，切实规范全省食品生产经营秩序。湖南市场监管部门始终坚持把人民群众身体健康和生命安全放在首位，坚决维护食品药品安全，对食品药品领域违法行为“零容忍”，依法严厉予以打击。（人民日报记者孙超）责任编辑：郑亚鹏,"1,517"
9,弗洛伊德追悼会 事发地市长跪在灵柩前大哭(图),原标题：弗洛伊德追悼会 事发地市长跪在灵柩前大哭（图）海外网6月5日电 美国非裔男子弗洛伊德遭警察暴力执法致死后，大规模抗议示威活动已蔓延全美140多个城市。当地时间4日，弗洛伊德的首场追悼会在事发地明尼阿波利斯市举行。据CNN等美媒报道，追悼会在一所大学举行，数百人出席，包括弗洛伊德的家人、明尼苏达州州长蒂姆·沃尔兹及明尼阿波利斯市市长雅各布·弗雷等。弗洛伊德的灵柩两旁摆放了白色和紫色的花。著名黑人民权活动家阿尔·夏普顿致悼词。追悼会开始前，现场还出现动容一幕，明尼阿波利斯市市长雅各布·弗雷单膝跪在弗洛伊德的灵柩前，一手轻抚棺材，一手掩嘴痛哭。5月28日，雅各布·弗雷曾发推纪念弗洛伊德，他说，“弗洛伊德理应得到公正。黑人社区理应得到公正。他的朋友和家人理应得到公正。”据了解，当天是弗洛伊德的首场追悼会，在其出生地北卡罗来纳州的追悼会将于6日举行。随后，他的遗体将运往曾生活的城市休斯敦，正式葬礼将于9日举行。目前，涉案的4名警察已被革职，并全部遭到起诉，其中跪压弗洛伊德近9分钟的警察肖万被改控二级谋杀罪，较此前起诉级别有所提升。其余3名警察被控协助及教唆二级谋杀。（海外网 刘强）责任编辑：祝加贝,"1,317"
